Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
Main_0/IBufCE/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufMisoAdc/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufPPS/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufRxd0/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufRxd1/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufRxd2/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufRxd3/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufRxdGps/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufRxdUsb/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufWrnRd/Primitives,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/IBufnDrdyAdc/Primitives,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/PPSAccumulator/Primitives,73,67,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/Primitives,15,787,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/Uart/Uart/Primitives,35,25,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx0/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/Uart/Uart/Primitives,36,25,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx1/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/ClkSyncWrite/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/Uart/ClkSyncRxd/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/Uart/Uart/Primitives,37,25,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/UartFifo/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Rx2/UartFifo/fifo_i/Primitives,65,52,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/IBufTxInProgress_i/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/Primitives,7,6,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/UartTxFifo/Primitives,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/UartTxFifo/fifo_i/Primitives,57,43,36,36,0,1,0,0,0,0,0,0,0,0
Main_0/RS422_Tx0/UartTxUart/Primitives,19,7,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/IBufStartTx/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Main_0/RS422_Tx1/IBufTxInProgress_i/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0
