pin,slack
SpiMasterPorts_0/DataToMosi_i[15]:EN,4923
SpiMasterPorts_0/DataToMosi_i[15]:Q,3960
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/un1_CUARTI1131_1:A,6742
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/un1_CUARTI1131_1:B,6582
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/un1_CUARTI1131_1:C,5525
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/un1_CUARTI1131_1:Y,5525
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_43:A,2332
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_43:B,2520
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_43:C,1564
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_43:Y,1564
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_26:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_215:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_215:IPB,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0lce[2]:A,6583
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0lce[2]:B,7568
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0lce[2]:Y,6583
SpiMasterPorts_3/AmbaDataLatched:ALn,5513
SpiMasterPorts_3/AmbaDataLatched:CLK,6621
SpiMasterPorts_3/AmbaDataLatched:EN,4461
SpiMasterPorts_3/AmbaDataLatched:Q,6621
nCsF_obuf[1]/U0/U_IOOUTFF:A,
nCsF_obuf[1]/U0/U_IOOUTFF:Y,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[9]:CLK,5175
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[9]:D,4963
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[9]:Q,5175
SpiMasterPorts_2/nCsce[3]:A,7692
SpiMasterPorts_2/nCsce[3]:B,6652
SpiMasterPorts_2/nCsce[3]:C,7569
SpiMasterPorts_2/nCsce[3]:Y,6652
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_224:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_224:IPB,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[3]:CLK,5389
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[3]:D,5053
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0[3]:Q,5389
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[3]:A,7735
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[3]:B,6637
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[3]:C,7625
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[3]:D,7524
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[3]:Y,6637
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_20:A,2515
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_20:B,3071
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_20:C,3282
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_20:D,2805
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_20:Y,2515
SpiMasterPorts_5/DacNum_i_0_sqmuxa:A,3583
SpiMasterPorts_5/DacNum_i_0_sqmuxa:B,6271
SpiMasterPorts_5/DacNum_i_0_sqmuxa:Y,3583
SpiMasterPorts_3/DataToMosi_i[3]:ALn,5513
SpiMasterPorts_3/DataToMosi_i[3]:CLK,3088
SpiMasterPorts_3/DataToMosi_i[3]:D,7583
SpiMasterPorts_3/DataToMosi_i[3]:EN,4461
SpiMasterPorts_3/DataToMosi_i[3]:Q,3088
SpiMasterPorts_5/SpiBitPos_7_1.N_40_i:A,7545
SpiMasterPorts_5/SpiBitPos_7_1.N_40_i:B,7541
SpiMasterPorts_5/SpiBitPos_7_1.N_40_i:C,3510
SpiMasterPorts_5/SpiBitPos_7_1.N_40_i:D,6560
SpiMasterPorts_5/SpiBitPos_7_1.N_40_i:Y,3510
nCsF_obuf[3]/U0/U_IOOUTFF:A,
nCsF_obuf[3]/U0/U_IOOUTFF:Y,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNI63J69[3]:B,7463
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNI63J69[3]:C,4963
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNI63J69[3]:D,7155
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNI63J69[3]:FCI,4918
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNI63J69[3]:FCO,4918
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/genblk1.CUARTO0_RNI63J69[3]:S,5053
SpiMasterPorts_0/_decfrac23_0_o2:A,4552
SpiMasterPorts_0/_decfrac23_0_o2:B,4519
SpiMasterPorts_0/_decfrac23_0_o2:Y,4519
SpiMasterPorts_2/DataFromMiso_7_16_0_a2:A,3612
SpiMasterPorts_2/DataFromMiso_7_16_0_a2:B,6633
SpiMasterPorts_2/DataFromMiso_7_16_0_a2:C,6438
SpiMasterPorts_2/DataFromMiso_7_16_0_a2:Y,3612
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_RNO[0]:A,5731
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_RNO[0]:B,5829
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_RNO[0]:C,5405
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_RNO[0]:D,5449
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_RNO[0]:Y,5405
SpiMasterPorts_4/Mosi_i_3_23_i_m2_2_0_1:A,4791
SpiMasterPorts_4/Mosi_i_3_23_i_m2_2_0_1:B,3614
SpiMasterPorts_4/Mosi_i_3_23_i_m2_2_0_1:C,4837
SpiMasterPorts_4/Mosi_i_3_23_i_m2_2_0_1:D,4729
SpiMasterPorts_4/Mosi_i_3_23_i_m2_2_0_1:Y,3614
SpiMasterPorts_4/DataFromMiso_7_7_0_a2_0:A,6540
SpiMasterPorts_4/DataFromMiso_7_7_0_a2_0:B,6474
SpiMasterPorts_4/DataFromMiso_7_7_0_a2_0:Y,6474
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_159:IPB,
SpiMasterPorts_5/DataToMosi_i[21]:ALn,5513
SpiMasterPorts_5/DataToMosi_i[21]:CLK,3389
SpiMasterPorts_5/DataToMosi_i[21]:D,7339
SpiMasterPorts_5/DataToMosi_i[21]:EN,4461
SpiMasterPorts_5/DataToMosi_i[21]:Q,3389
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_142:IPB,
SpiMasterPorts_3/DataToMosi_i[5]:ALn,5513
SpiMasterPorts_3/DataToMosi_i[5]:CLK,3652
SpiMasterPorts_3/DataToMosi_i[5]:D,7424
SpiMasterPorts_3/DataToMosi_i[5]:EN,4461
SpiMasterPorts_3/DataToMosi_i[5]:Q,3652
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_ns_0[2]:A,7741
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_ns_0[2]:B,7663
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_ns_0[2]:C,5474
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_ns_0[2]:D,6631
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTlI0l_ns_0[2]:Y,5474
nCsA_obuf[0]/U0/U_IOENFF:A,
nCsA_obuf[0]/U0/U_IOENFF:Y,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_63:A,3129
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_63:B,6609
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_63:Y,3129
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_179:IPB,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_182:IPA,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:A,4924
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:B,4826
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:C,4834
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:D,4571
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:FCI,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:FCO,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_1:Y,4571
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_120:IPA,
SckD_obuf/U0/U_IOPAD:D,
SckD_obuf/U0/U_IOPAD:E,
SckD_obuf/U0/U_IOPAD:PAD,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:A,4483
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:B,5638
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:C,5655
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:D,5432
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:FCI,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:FCO,
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTIO1/CUARTl10l.CUARTll1_2_u_2_1_wmux_0:Y,4483
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_8:A,1564
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_8:B,2608
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_8:IPA,1564
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_8:IPB,2608
SpiMasterPorts_2/DataFromMiso_7_18_0_a2:A,7510
SpiMasterPorts_2/DataFromMiso_7_18_0_a2:B,7469
SpiMasterPorts_2/DataFromMiso_7_18_0_a2:C,3489
SpiMasterPorts_2/DataFromMiso_7_18_0_a2:D,6509
SpiMasterPorts_2/DataFromMiso_7_18_0_a2:Y,3489
SpiMasterPorts_4/DataFromMiso_7_7_0_a2:A,6676
SpiMasterPorts_4/DataFromMiso_7_7_0_a2:B,6521
SpiMasterPorts_4/DataFromMiso_7_7_0_a2:C,3485
SpiMasterPorts_4/DataFromMiso_7_7_0_a2:Y,3485
SpiMasterPorts_4/DataFromMiso_1[15]:ALn,5513
SpiMasterPorts_4/DataFromMiso_1[15]:CLK,6826
SpiMasterPorts_4/DataFromMiso_1[15]:D,
SpiMasterPorts_4/DataFromMiso_1[15]:EN,3479
SpiMasterPorts_4/DataFromMiso_1[15]:Q,6826
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTll0_ns_1_0_.m20:A,7709
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTll0_ns_1_0_.m20:B,5627
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTll0_ns_1_0_.m20:C,5386
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTll0_ns_1_0_.m20:Y,5386
SpiMasterPorts_2/SpiBitPos_7_1.SUM_i_o2[2]:A,2650
SpiMasterPorts_2/SpiBitPos_7_1.SUM_i_o2[2]:B,5695
SpiMasterPorts_2/SpiBitPos_7_1.SUM_i_o2[2]:C,5597
SpiMasterPorts_2/SpiBitPos_7_1.SUM_i_o2[2]:Y,2650
SpiMasterPorts_3/SpiBitPos[2]:ALn,5513
SpiMasterPorts_3/SpiBitPos[2]:CLK,2615
SpiMasterPorts_3/SpiBitPos[2]:D,3510
SpiMasterPorts_3/SpiBitPos[2]:Q,2615
SpiMasterPorts_2/DataToMosi_i[17]:ALn,5513
SpiMasterPorts_2/DataToMosi_i[17]:CLK,2517
SpiMasterPorts_2/DataToMosi_i[17]:D,7399
SpiMasterPorts_2/DataToMosi_i[17]:EN,4917
SpiMasterPorts_2/DataToMosi_i[17]:Q,2517
IO_C0_0/IO_C0_0/U0_1/U0/U_IOPAD:D,
IO_C0_0/IO_C0_0/U0_1/U0/U_IOPAD:E,
IO_C0_0/IO_C0_0/U0_1/U0/U_IOPAD:PAD,
SpiMasterPorts_0/un6_ncslatchedlto8:A,3839
SpiMasterPorts_0/un6_ncslatchedlto8:B,3790
SpiMasterPorts_0/un6_ncslatchedlto8:C,2727
SpiMasterPorts_0/un6_ncslatchedlto8:D,2565
SpiMasterPorts_0/un6_ncslatchedlto8:Y,2565
SpiMasterPorts_5/DataToMosi_i[15]:ALn,5513
SpiMasterPorts_5/DataToMosi_i[15]:CLK,3960
SpiMasterPorts_5/DataToMosi_i[15]:D,7407
SpiMasterPorts_5/DataToMosi_i[15]:EN,4461
SpiMasterPorts_5/DataToMosi_i[15]:Q,3960
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTO1[1]:CLK,7652
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTO1[1]:D,6686
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTO1[1]:Q,7652
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_1_0[5]:A,6805
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_1_0[5]:B,6756
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_1_0[5]:C,5494
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_1_0[5]:D,5392
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTl1OI_5_1_0[5]:Y,5392
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_243:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_243:IPB,
SpiMasterPorts_4/ClkDiv[7]:ALn,5513
SpiMasterPorts_4/ClkDiv[7]:CLK,2887
SpiMasterPorts_4/ClkDiv[7]:D,5193
SpiMasterPorts_4/ClkDiv[7]:EN,8498
SpiMasterPorts_4/ClkDiv[7]:Q,2887
SpiMasterPorts_2/Pready:ALn,5513
SpiMasterPorts_2/Pready:CLK,4754
SpiMasterPorts_2/Pready:D,4747
SpiMasterPorts_2/Pready:EN,3763
SpiMasterPorts_2/Pready:Q,4754
SpiMasterPorts_1/ClkDiv[7]:ALn,5513
SpiMasterPorts_1/ClkDiv[7]:CLK,2802
SpiMasterPorts_1/ClkDiv[7]:D,5193
SpiMasterPorts_1/ClkDiv[7]:EN,8498
SpiMasterPorts_1/ClkDiv[7]:Q,2802
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_34:A,2669
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_34:B,3277
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_34:C,2583
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_34:Y,2583
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[2]:A,7735
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[2]:B,6637
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[2]:C,7618
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTlOI.CUARTO1_3_1.SUM[2]:Y,6637
SpiMasterPorts_3/DataToMosi_i[1]:ALn,5513
SpiMasterPorts_3/DataToMosi_i[1]:CLK,2780
SpiMasterPorts_3/DataToMosi_i[1]:D,7530
SpiMasterPorts_3/DataToMosi_i[1]:EN,4461
SpiMasterPorts_3/DataToMosi_i[1]:Q,2780
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_32:A,2557
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_32:B,3165
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_32:C,2471
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_32:Y,2471
SpiMasterPorts_2/DataFromMiso_7_2_0_a2:A,7502
SpiMasterPorts_2/DataFromMiso_7_2_0_a2:B,7469
SpiMasterPorts_2/DataFromMiso_7_2_0_a2:C,3489
SpiMasterPorts_2/DataFromMiso_7_2_0_a2:D,6509
SpiMasterPorts_2/DataFromMiso_7_2_0_a2:Y,3489
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_78:A,6066
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_78:B,5988
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_78:C,2694
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_78:Y,2694
SpiMasterPorts_2/DataFromMiso_7_15_0_a2:A,5876
SpiMasterPorts_2/DataFromMiso_7_15_0_a2:B,5686
SpiMasterPorts_2/DataFromMiso_7_15_0_a2:C,2650
SpiMasterPorts_2/DataFromMiso_7_15_0_a2:Y,2650
SpiMasterPorts_1/Mosi_i:ALn,5513
SpiMasterPorts_1/Mosi_i:CLK,6754
SpiMasterPorts_1/Mosi_i:D,2517
SpiMasterPorts_1/Mosi_i:EN,8498
SpiMasterPorts_1/Mosi_i:Q,6754
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_31:A,2556
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_31:B,3164
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_31:C,2470
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_31:Y,2470
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_14:A,2519
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_14:B,3083
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_14:C,3286
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_14:D,2816
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_14:Y,2519
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_283:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_283:IPB,
SpiMasterPorts_0/un1_rst_2:A,6307
SpiMasterPorts_0/un1_rst_2:B,
SpiMasterPorts_0/un1_rst_2:Y,6307
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_12:A,2575
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_12:B,3142
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_12:C,3342
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_12:D,2872
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_12:Y,2575
debug_obuf[2]/U0/U_IOOUTFF:A,
debug_obuf[2]/U0/U_IOOUTFF:Y,
SpiMasterPorts_2/DataToMosi_i[16]:ALn,5513
SpiMasterPorts_2/DataToMosi_i[16]:CLK,2883
SpiMasterPorts_2/DataToMosi_i[16]:D,7418
SpiMasterPorts_2/DataToMosi_i[16]:EN,4917
SpiMasterPorts_2/DataToMosi_i[16]:Q,2883
SpiMasterPorts_0/un6_ncslatchedlto8_2:A,2851
SpiMasterPorts_0/un6_ncslatchedlto8_2:B,2802
SpiMasterPorts_0/un6_ncslatchedlto8_2:C,2727
SpiMasterPorts_0/un6_ncslatchedlto8_2:Y,2727
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_11:A,2608
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_11:B,3166
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_11:C,3375
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_11:D,2900
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_11:Y,2608
EvalSandbox_MSS_0/CoreAPB3_0/u_mux_p_to_b3/PREADY_3:A,4839
EvalSandbox_MSS_0/CoreAPB3_0/u_mux_p_to_b3/PREADY_3:B,4754
EvalSandbox_MSS_0/CoreAPB3_0/u_mux_p_to_b3/PREADY_3:C,1465
EvalSandbox_MSS_0/CoreAPB3_0/u_mux_p_to_b3/PREADY_3:Y,1465
flash_freeze_inst/INST_FLASH_FREEZE_IP:FF_TO_START,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_48:A,6788
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_48:B,6710
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_48:C,3097
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST_RNO_48:Y,3097
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:IPB,
SpiMasterPorts_1/_decfrac23_0_a2:A,5715
SpiMasterPorts_1/_decfrac23_0_a2:B,4519
SpiMasterPorts_1/_decfrac23_0_a2:C,5572
SpiMasterPorts_1/_decfrac23_0_a2:D,5538
SpiMasterPorts_1/_decfrac23_0_a2:Y,4519
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_9_3_1[7]:A,6844
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_9_3_1[7]:B,6766
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_9_3_1[7]:C,6607
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_9_3_1[7]:D,6516
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTO0ll.CUARTO0Il_9_3_1[7]:Y,6516
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTIO0_1_sqmuxa_i_0:A,7721
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTIO0_1_sqmuxa_i_0:B,7643
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTIO0_1_sqmuxa_i_0:Y,7643
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_30:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_30:IPB,
EvalSandbox_MSS_0/CoreAPB3_0/u_mux_p_to_b3/PREADY_2:A,5918
