pin,slack
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTllll.CUARTl1Il_4:A,5515
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTllll.CUARTl1Il_4:B,7696
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTllll.CUARTl1Il_4:C,6668
CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTllll.CUARTl1Il_4:Y,5515
SpiMasterPorts_4/SpiBitPos_7_1.SUM_i_o2[0]:A,4682
SpiMasterPorts_4/SpiBitPos_7_1.SUM_i_o2[0]:B,3763
SpiMasterPorts_4/SpiBitPos_7_1.SUM_i_o2[0]:C,4730
SpiMasterPorts_4/SpiBitPos_7_1.SUM_i_o2[0]:D,4530
SpiMasterPorts_4/SpiBitPos_7_1.SUM_i_o2[0]:Y,3763
SpiMasterPorts_4/Mosi_i_7_iv_i_RNO_0:A,4646
SpiMasterPorts_4/Mosi_i_7_iv_i_RNO_0:B,3850
SpiMasterPorts_4/Mosi_i_7_iv_i_RNO_0:C,6634
SpiMasterPorts_4/Mosi_i_7_iv_i_RNO_0:D,4261
SpiMasterPorts_4/Mosi_i_7_iv_i_RNO_0:Y,3850
SpiMasterPorts_5/DataFromMiso_1[20]:ALn,5513
SpiMasterPorts_5/DataFromMiso_1[20]:CLK,5918
SpiMasterPorts_5/DataFromMiso_1[20]:D,
SpiMasterPorts_5/DataFromMiso_1[20]:EN,3489
SpiMasterPorts_5/DataFromMiso_1[20]:Q,5918
nCsA_obuf[1]/U0/U_IOOUTFF:A,
nCsA_obuf[1]/U0/U_IOOUTFF:Y,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_44:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_44:IPB,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_148:IPA,
EvalSandbox_MSS_0/EvalSandbox_MSS_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_148:IPB,
SpiMasterPorts_3/DataFromMiso_7_0_0_a2:A,7502
SpiMasterPorts_3/DataFromMiso_7_0_0_a2:B,7511
SpiMasterPorts_3/DataFromMiso_7_0_0_a2:C,3489
SpiMasterPorts_3/DataFromMiso_7_0_0_a2:D,6509
SpiMasterPorts_3/DataFromMiso_7_0_0_a2:Y,3489
